date_last_confirmed,fuel_type_code,open_date,status_code,station_name,city,county
2023-01-10,ELEC,2018-01-15,E,City of Lacey - City Hall Parking,Lacey,Thurston
2023-12-13,ELEC,2010-03-01,E,Seattle-Tacoma International Airport - General Parking,Seattle,King
2023-06-12,ELEC,2010-04-15,E,Avista Corp,Spokane,Spokane
2023-04-06,ELEC,2010-04-15,E,Steam Plant Parking,Spokane,Spokane
2025-04-18,ELEC,2010-12-15,T,BELLEVUE BELLEVUE CH 1,Bellevue,King
2025-04-18,ELEC,2008-02-15,E,KING COUNTY DES ISSAQUAH P&R 2,Issaquah,King
2023-07-11,ELEC,2011-07-15,E,King County - King County Van Distribution Center,Redmond,King
2025-04-18,ELEC,2011-03-15,E,UWB CASCADIA CC NORTH LEVEL 3 N,Bothell,King
2025-04-18,ELEC,2011-03-15,E,CITY OF REDMOND CITY HALL DUAL,Redmond,King
2025-04-18,ELEC,2011-03-15,E,CITY OF REDMOND MOC #1 PUBLIC,Redmond,King
2025-04-18,ELEC,2011-03-15,E,WILLOWS LODGE WILLOWS #2,Woodinville,King
2024-02-12,ELEC,2011-03-15,E,Rairdon's Nissan - Auburn,Auburn,King
2024-02-12,ELEC,2011-03-15,E,Bellingham Nissan,Bellingham,San Juan
2024-02-12,ELEC,2011-03-15,E,Advantage Nissan,Bremerton,Kitsap
2024-02-12,ELEC,2011-03-15,E,Burien Nissan,Burien,Kitsap
2024-02-12,ELEC,2011-03-15,E,Campbell-Nelson Nissan,Edmonds,Kitsap
2024-02-12,ELEC,2011-03-15,E,Olympia Nissan,Olympia,Thurston
2024-02-12,ELEC,2011-03-15,E,Bill Robertson Nissan,Pasco,Franklin
2024-02-12,ELEC,2011-03-15,E,Dan Wilder Nissan,Port Angeles,Jefferson
2024-02-12,ELEC,2011-03-15,E,Bill Korum's Puyallup Nissan,Puyallup,Pierce
2024-02-12,ELEC,2011-03-15,E,Younker Nissan,Renton,King
2024-02-12,ELEC,2011-03-15,E,Wendle Nissan,Spokane,Spokane
2024-02-12,ELEC,2011-03-15,E,Dave Smith Nissan - Spokane,Spokane Valley,Spokane
2024-02-12,ELEC,2011-03-15,E,Tacoma Nissan,Tacoma,Thurston
2024-02-12,ELEC,2011-03-15,E,Alan Webb Nissan,Vancouver,Clark
2024-02-12,ELEC,2011-03-15,E,O'Brien Nissan,Walla Walla,Walla Walla
2025-04-18,ELEC,2011-05-15,E,KEY CENTER KEY CENTER 6,Bellevue,King
2025-04-18,ELEC,2011-05-15,E,KRC SKYLINE SKYLINE #1,Bellevue,King
2024-06-13,ELEC,2011-10-01,E,Caplan's Rainbow Parking,Seattle,Kitsap
2025-04-18,ELEC,2011-12-31,E,CITY OF SEATAC CITY HALL 1,SeaTac,King
2024-10-11,ELEC,2011-10-15,E,Puget Sound Energy,Tacoma,Pierce
2023-08-10,ELEC,2011-11-30,E,City of Tacoma - Municipal Building,Tacoma,Pierce
2025-04-18,ELEC,2011-11-15,T,BELLEVUE SBCC #2,Bellevue,King
2025-04-18,ELEC,2012-01-15,T,IBEW LOCAL 46 IBEW LOCAL 46 1,Kent,King
2025-04-18,ELEC,2012-01-15,E,VALLEY MED CTR MAIN LOT #5,Renton,King
2025-04-18,ELEC,2012-01-15,T,VALLEY MED CTR N GARAGE #1,Renton,King
2023-09-14,ELEC,2017-01-12,E,City of Renton - City Shops,Renton,King
2023-12-13,ELEC,2017-01-12,E,City of Renton - City Hall,Renton,King
2025-04-18,ELEC,2012-01-31,E,TAC PW PARKING A ST GARAGE 01,Tacoma,Pierce
2025-04-18,ELEC,2012-01-31,E,TAC PW PARKING GLASS MSM CP 01,Tacoma,Pierce
2024-02-12,ELEC,2011-03-15,E,Campbell-Nelson Nissan,Edmonds,Kitsap
2024-02-12,ELEC,2014-01-01,E,Campbell Nissan - Everett,Everett,Island
2024-02-12,ELEC,2011-03-15,E,Olympia Nissan,Olympia,Thurston
2024-02-12,ELEC,2011-03-15,E,Bill Robertson Nissan,Pasco,Franklin
2024-02-12,ELEC,2011-03-15,E,Bill Korum's Puyallup Nissan,Puyallup,Pierce
2024-02-12,ELEC,2011-03-15,E,Younker Nissan,Renton,King
2024-11-06,ELEC,2011-12-01,E,City of Seattle - Central Library,Seattle,Kitsap
2024-11-06,ELEC,2011-12-31,E,City of Seattle - Muni Tower,Seattle,Kitsap
2024-11-06,ELEC,2011-12-31,E,City of Seattle - Parking Enforcement Division,Seattle,Kitsap
2024-11-06,ELEC,2011-12-01,E,City of Seattle - Seattle Center,Seattle,Kitsap
2024-11-06,ELEC,2011-12-31,E,City of Seattle - Seattle City Light North Service Center,Seattle,Kitsap
2024-11-06,ELEC,2011-12-31,E,City of Seattle - Seattle Water Ops,Seattle,Kitsap
2024-11-06,ELEC,2011-12-31,E,City of Seattle - West Bridge,Seattle,Kitsap
2024-02-12,ELEC,2011-03-15,E,Tacoma Nissan,Tacoma,Thurston
2024-02-12,ELEC,2011-03-15,E,Advantage Nissan,Bremerton,Kitsap
2024-02-12,ELEC,2011-03-15,E,Burien Nissan,Burien,Kitsap
2024-02-12,ELEC,2011-03-15,E,Alan Webb Nissan,Vancouver,Clark
2024-02-12,ELEC,2011-11-30,E,Valley Nissan,Yakima,Yakima
2024-02-12,ELEC,2011-11-30,E,Valley Nissan,Yakima,Yakima
2023-08-10,ELEC,2012-01-20,E,Snohomish County - Evergreen Fairgrounds,Monroe,Snohomish
2023-09-14,ELEC,2012-05-31,E,PeaceHealth,Vancouver,Clark
2024-10-11,ELEC,2012-06-30,E,Puget Sound Energy,Seattle,Kitsap
2025-04-18,ELEC,2012-07-31,E,KING COUNTY DES KSC STATION #1,Seattle,Kitsap
2025-04-18,ELEC,2012-11-20,T,SKAGIT COUNTY ADMIN STATION 2,Mount Vernon,Island
2023-09-14,ELEC,2012-10-01,E,Evergreen Ford,Issaquah,King
2023-06-12,ELEC,2013-05-15,E,Nikola Broadband,Sequim,San Juan
2023-07-11,ELEC,2013-06-01,E,King County - Roads Maintenance Facility,Renton,King
2024-01-09,ELEC,2013-11-01,E,Mazama Country Inn,Mazama,Chelan
2025-04-18,ELEC,2014-01-20,E,VIA6 VIA6-SOUTH,Seattle,Kitsap
2025-04-18,ELEC,2011-03-15,E,800 FIFTH AVE STATION 2,Seattle,Kitsap
2024-01-09,ELEC,2013-10-04,E,Campbell's Lake Chelan Resort,Chelan,Douglas
2024-01-09,ELEC,2013-09-23,E,Pine Near RV Park,Winthrop,Okanogan
2024-01-09,ELEC,2013-10-04,E,Omak Inn,Omak,Okanogan
2024-01-09,ELEC,2014-01-15,E,59er Diner,Leavenworth,Chelan
2023-09-14,ELEC,2014-01-01,E,Birkenstock,Ridgefield,Clark
2025-04-18,ELEC,2014-02-07,E,PARKMETRO1 PARK METRO #1,Bellevue,King
2025-04-18,ELEC,2014-02-13,E,VALLEY MED CTR MAIN LOT #8,Renton,King
2023-09-14,ELEC,2014-01-01,E,Haselwood Chevrolet Buick GMC,Bremerton,Kitsap
2023-06-12,ELEC,2014-03-06,E,Lakeside 24 Hour Fuel,Cougar,Cowlitz
2025-04-18,ELEC,2013-12-31,E,Kitsap Transit Harborside Garage,Bremerton,Kitsap
2025-01-13,ELEC,2014-05-22,E,Mount Rainier National Park,Longmire,Pierce
2025-01-13,ELEC,2019-07-15,E,Mount Rainier National Park,Ashford,Pierce
2023-06-12,ELEC,2014-04-01,E,Semiahmoo Resort,Blaine,San Juan
2025-04-18,ELEC,2014-07-30,T,UDR ASHTON BELL #2,Bellevue,King
2023-01-10,ELEC,2014-03-21,E,Best Western Plus - Heritage Inn,Bellingham,San Juan
2025-04-18,ELEC,2014-07-31,E,UDR TEN20 #1,Bellevue,King
2025-04-18,ELEC,2014-08-06,T,AMLI SLU AMLI SLU #1,Seattle,Kitsap
2024-01-09,ELEC,2014-08-18,E,City of Chelan,Chelan,Douglas
2025-04-18,ELEC,2014-08-27,E,LCC LCC H&S #1,Longview,Cowlitz
2025-04-18,ELEC,2014-08-28,E,UWMC UWMC #1,Bellevue,King
2025-04-18,ELEC,2014-09-17,E,UWMC 4245 UWMC 4245 #1,Seattle,Kitsap
